utc_time,pst_time,unix_time,temp,temp_flg,cond,cond_flg,sal,sal_flg,fluor,fluor_flg,otemp,otemp_flg,do2,do2_flg,ba,ba_flg,trans,trans_flg,osat,osat_flg,tide,ph,ph_flg,phrawv
2016-03-01T08:03:07Z,2016-03-01 00:03:07,1456819387,13.7362819817864,9,0.922696692749241,9,33.0505146855473,9,0.63064126984127,9,13.67,9,267.21,9,7.81995714318354,1,45.7492076144926,1,82.49,9,3.14,-99999,9,4.095
2016-03-01T08:08:07Z,2016-03-01 00:08:07,1456819687,13.7560209480778,9,0.923039077552003,9,33.0471194759841,9,0.624292063492063,9,13.69,9,271.62,9,7.89769816974518,1,45.3949274674663,1,83.89,9,3.18,-99999,9,4.095
2016-03-01T08:13:07Z,2016-03-01 00:13:07,1456819987,13.7878956736686,1,0.923674928941174,1,33.0450414562547,1,0.624292063492063,1,13.7,1,273.63,1,7.89212515192332,1,45.4202331922539,1,84.55,1,3.22,-99999,4,4.095
2016-03-01T08:18:07Z,2016-03-01 00:18:07,1456820287,13.7567800322515,1,0.923136906400485,1,33.0504059399509,1,0.63064126984127,1,-99999,4,72,4,7.92002135158462,1,45.293704568316,1,0,4,3.22,14.1856155,4,4.095
2016-03-01T08:23:07Z,2016-03-01 00:23:07,1456820587,13.7302073770716,1,0.922598872232545,1,33.0518501279768,1,0.636990476190476,1,13.65,4,269.33,4,7.93679650146224,1,45.2177873939532,1,83.12,4,3.26,-99999,4,4.095
2016-03-01T08:28:07Z,2016-03-01 00:28:07,1456820887,13.720335063372,1,0.922378772838044,1,33.051542699545,1,0.63064126984127,1,13.66,4,266.76,3,7.97604830136487,1,45.0406473204401,1,82.34,4,3.3,-99999,4,4.095
2016-03-01T08:33:35Z,2016-03-01 00:33:35,1456821215,13.7074230944791,1,0.922158667080166,1,33.0539305057864,1,0.636990476190476,1,13.64,1,264.9,1,7.99291778061231,1,44.9647301460773,1,81.72,1,3.35,-99999,4,4.095
2016-03-01T08:38:08Z,2016-03-01 00:38:08,1456821488,13.7248916821846,1,0.92245213020023,1,33.0505761749176,1,0.63064126984127,1,13.69,1,263.29,1,7.90327429515174,1,45.3696217426787,1,81.32,1,3.39,-99999,4,4.095
2016-03-01T08:43:10Z,2016-03-01 00:43:10,1456821790,13.8068621046788,1,0.923992850547125,1,33.0413724856318,1,0.643339682539683,1,13.72,1,267.62,1,7.93120165752433,1,45.2430931187408,1,82.72,1,3.44,-99999,4,4.095
2016-03-01T08:48:10Z,2016-03-01 00:48:10,1456822090,13.8887404059362,1,0.925655896485022,1,33.0370732799008,1,0.636990476190476,1,13.71,1,269.45,1,7.85875211081446,1,45.5720675409795,1,83.27,1,3.44,-99999,4,4.095
2016-03-01T08:53:11Z,2016-03-01 00:53:11,1456822391,13.7795488793864,1,0.923528194905223,1,33.0463842009355,1,0.636990476190476,1,13.69,1,264.2,1,7.86986408733371,1,45.5214560914043,1,81.6,1,3.49,-99999,4,4.095
2016-03-01T08:58:11Z,2016-03-01 00:58:11,1456822691,13.866005658571,1,0.925166753685606,1,33.0372054283869,1,0.63064126984127,1,13.74,1,267.3,1,7.8365651321202,1,45.6732904401298,1,82.66,1,3.53,-99999,4,4.095
2016-03-01T09:03:13Z,2016-03-01 01:03:13,1456822993,13.8053449718935,1,0.923992847183589,1,33.0427156573895,1,0.636990476190476,1,13.72,1,264.85,1,7.75379964608832,1,46.0528763119437,1,81.86,1,3.94,-99999,4,4.095
2016-03-01T09:08:13Z,2016-03-01 01:08:13,1456823293,13.8182395937022,1,0.924286335674671,1,33.0432689230108,1,0.643339682539683,1,13.73,1,296.48,1,8.2148506842223,1,43.9778068793613,1,91.66,1,3.98,-99999,4,4.095
2016-03-01T09:13:11Z,2016-03-01 01:13:11,1456823591,13.8697952755662,1,0.925264582803048,1,33.0378383720827,1,0.636990476190476,1,13.78,1,284.5,1,7.91443588259515,1,45.3190102931036,1,88.05,1,4.03,-99999,4,4.095
2016-03-01T09:18:11Z,2016-03-01 01:18:11,1456823891,13.9228292395592,1,0.926340673352128,1,33.0350237074383,1,0.649688888888889,1,13.8,1,283.54,1,7.9088535316106,1,45.3443160178911,1,87.79,1,4.03,-99999,4,4.095
