utc_time,pst_time,unix_time,temp,temp_flg,cond,cond_flg,sal,sal_flg,fluor,fluor_flg,otemp,otemp_flg,do2,do2_flg,ba,ba_flg,trans,trans_flg,osat,osat_flg,tide,ph,ph_flg,phrawv,co2,temp_raw,cond_raw,fluoro_raw,trans_raw
2016-12-01T08:03:11Z,2016-12-01 00:03:11,1480579391,12.7201037712021,9,0.902130616568562,9,33.1040149280331,9,1.39889523809524,9,12.69,9,215.27,9,2.01391183996619,1,81.7592539872333,1,65.03,9,-99999,7.8599113,9,2.649,,,,,
2016-12-01T08:08:08Z,2016-12-01 00:08:08,1480579688,12.8124456731021,9,0.903964556583647,9,33.0979392611686,9,1.37984761904762,9,12.75,9,217.5,9,1.84206837916071,1,83.1763745753383,1,65.79,9,-99999,7.864305,9,2.65,,,,,
2016-12-01T08:13:07Z,2016-12-01 00:13:07,1480579987,12.8385877761773,1,0.904282413482085,1,33.0879934348254,1,1.39254603174603,1,12.78,1,220.28,1,1.95835374084921,1,82.2147570334099,1,66.67,1,-99999,7.8555176,1,2.648,,,,,
2016-12-01T08:18:07Z,2016-12-01 00:18:07,1480580287,13.0481517023721,1,0.908121514572053,1,33.0609296574034,1,1.51318095238095,1,12.93,1,232.83,1,2.08847274409518,1,81.1519165923311,1,70.7,1,-99999,7.8599113,1,2.649,,,,,
2016-12-01T08:23:08Z,2016-12-01 00:23:08,1480580588,13.1132768910209,1,0.909295269958359,1,33.0517325972506,1,1.55127619047619,1,13.03,1,241.14,1,2.06355728799142,1,81.3543623906318,1,73.39,1,-99999,7.8686987,1,2.651,,,,,
2016-12-01T08:28:07Z,2016-12-01 00:28:07,1480580887,13.1989996286949,1,0.911055956495583,1,33.048348560965,1,1.57667301587302,1,13.1,1,248.62,1,1.99535815575847,1,81.9110883359588,1,75.79,1,-99999,7.8818798,1,2.654,,,,,
2016-12-01T08:41:23Z,2016-12-01 00:41:23,1480581683,13.039719455918,9,0.908097090101284,9,33.0672604756948,9,1.53857777777778,9,13.05,9,244.33,9,2.02320160702762,1,81.6833368128705,1,74.4,9,-99999,7.8994546,9,2.658,,,,,
2016-12-01T08:42:28Z,2016-12-01 00:42:28,1480581748,13.0565829671359,1,0.908292689780266,1,33.0605185927583,1,1.54492698412698,1,12.97,1,239.38,1,1.91535428273026,1,82.5690371804361,1,72.76,1,-99999,7.8950609,1,2.657,,,,,
2016-12-01T09:07:23Z,2016-12-01 01:07:23,1480583243,12.9392235010215,9,0.906042994195646,9,33.0716229087355,9,1.58937142857143,9,12.8,9,226.16,9,2.19506150315992,1,80.291521949553,1,68.48,9,-99999,7.8862735,9,2.655,,,,,
2016-12-01T09:17:23Z,2016-12-01 01:17:23,1480583843,13.0389528393695,9,0.908097084580687,9,33.0679659205298,9,1.62111746031746,9,12.89,9,236.8,9,2.13535720685305,1,80.7723307205172,1,71.86,9,-99999,7.8862735,9,2.655,,,,,
