utc_time,pst_time,unix_time,temp,temp_flg,cond,cond_flg,sal,sal_flg,fluor,fluor_flg,otemp,otemp_flg,do2,do2_flg,ba,ba_flg,trans,trans_flg,osat,osat_flg,tide,ph,ph_flg,phrawv,co2,temp_raw,cond_raw,fluoro_raw,trans_raw
2016-09-01T08:08:15Z,2016-09-01 00:08:15,1472717295,12.2814083111101,9,0.894648536068775,9,33.1834810320595,9,1.70365714285714,9,12.43,9,145.09,9,4.83839662730135,1,61.6412027810991,1,43.57,9,4.06,7.7808247,9,2.631,,,,,
2016-09-01T08:13:07Z,2016-09-01 00:13:07,1472717587,12.2535134629197,9,0.894135067962885,9,33.186986460633,9,1.69730793650794,9,12.43,9,144.78,9,5.0457989331535,1,60.3759165417197,1,43.47,9,3.94,7.7852184,9,2.632,,,,,
2016-09-01T08:18:08Z,2016-09-01 00:18:08,1472717888,12.2209558017091,1,0.893499342384753,1,33.1895694888891,1,1.70365714285714,1,12.37,1,144.77,1,4.84250279646751,1,61.6158970563116,1,43.42,1,3.82,7.7808247,1,2.631,,,,,
2016-09-01T08:23:06Z,2016-09-01 00:23:06,1472718186,12.2721112295519,1,0.894526289308335,1,33.186670108668,1,1.69095873015873,1,12.39,1,146.72,1,4.82198879052077,1,61.7424256802495,1,44.02,1,3.7,7.7852184,1,2.632,,,,,
2016-09-01T08:28:06Z,2016-09-01 00:28:06,1472718486,12.3185846349238,1,0.895504347498155,1,33.185889008346,1,1.69095873015873,1,12.42,1,148.61,1,4.74848487015652,1,62.1979287264261,1,44.62,1,3.57,7.7940058,1,2.634,,,,,
2016-09-01T08:33:18Z,2016-09-01 00:33:18,1472718798,12.2442127770476,1,0.89401282165258,1,33.1901798758683,1,1.67826031746032,1,12.38,1,147.48,1,4.87953438966786,1,61.3881455332233,1,44.24,1,3.45,7.7896121,1,2.633,,,,,
2016-09-01T08:38:07Z,2016-09-01 00:38:07,1472719087,12.2519634320793,1,0.894110617791443,1,33.1873500171357,1,1.67826031746032,1,12.4,1,146.4,1,4.80151678088148,1,61.8689543041875,1,43.93,1,3.45,7.7896121,1,2.633,,,,,
2016-09-01T08:43:07Z,2016-09-01 00:43:07,1472719387,12.2597132524558,1,0.894330687506816,1,33.189577033028,1,1.67826031746032,1,12.37,1,143.57,1,4.9872913734277,1,60.7301966887459,1,43.05,1,3.32,7.7808247,1,2.631,,,,,
2016-09-01T08:48:09Z,2016-09-01 00:48:09,1472719689,12.199242506606,1,0.893108132940212,1,33.1926470851833,1,1.67191111111111,1,12.33,1,141.15,1,5.02904752840043,1,60.47713944087,1,42.29,1,3.19,7.7720373,1,2.629,,,,,
2016-09-01T08:53:08Z,2016-09-01 00:53:08,1472719988,12.162780448704,1,0.892374605823495,1,33.1946411386678,1,1.6592126984127,1,12.32,1,140.92,1,4.84250279646751,1,61.6158970563116,1,42.21,1,3.06,7.7720373,1,2.629,,,,,
2016-09-01T08:58:08Z,2016-09-01 00:58:08,1472720288,12.1526919341273,1,0.892154545970188,1,33.1944829134428,1,1.65286349206349,1,12.29,1,141.73,1,4.83839662730135,1,61.6412027810991,1,42.42,1,2.93,7.776431,1,2.63,,,,,
2016-09-01T09:03:09Z,2016-09-01 01:03:09,1472720589,12.1449305750616,1,0.892056751203875,1,33.1973250403859,1,1.65286349206349,1,12.27,1,142.27,1,4.87129328753097,1,61.4387569827984,1,42.56,1,2.8,7.776431,1,2.63,,,,,
